Data,Umi. (%),Pressao (hPa),Vel. Vento (m/s),Temp. Max. [Diaria] (h),Temp. Min. [Diaria] (h),Chuva [Diaria] (mm)
01/10/2024,30,887.7,3.1,31.9,20.7,0
01/10/2024,40,889,5.1,31.9,20.7,0
01/10/2024,23,884.7,3.1,31.9,20.7,0
02/10/2024,37,886.1,0,33.3,16.3,0
02/10/2024,34,887,2.1,33.3,16.3,0
02/10/2024,17,883.4,3.1,33.3,16.3,0
03/10/2024,28,884.3,1,34.9,17.6,0
03/10/2024,28,887,5.1,34.9,17.6,0
03/10/2024,19,883.8,3.1,34.9,17.6,0
04/10/2024,29,885.8,3.1,36.1,22.5,0
04/10/2024,21,886.6,2.1,36.1,22.5,0
04/10/2024,17,883.5,2.1,36.1,22.5,0
05/10/2024,28,884.3,0,35.8,21.4,0
05/10/2024,28,887.4,2.1,35.8,21.4,0
05/10/2024,21,883.9,1,35.8,21.4,0
06/10/2024,28,884.6,0,36,21.4,0
06/10/2024,35,887.5,2.1,36,21.4,0
06/10/2024,22,883.3,2.1,36,21.4,0
07/10/2024,41,884.9,0,34.6,21,0
07/10/2024,41,886.1,3.1,34.6,21,0
07/10/2024,33,882.9,2.1,34.6,21,0
08/10/2024,58,884.9,2.1,31.3,21.3,0
08/10/2024,59,887.3,2.1,31.3,21.3,0
08/10/2024,46,885.1,0,31.3,21.3,0
09/10/2024,62,886.2,0,32.5,20.9,0
09/10/2024,60,888.1,1,32.5,20.9,0
09/10/2024,34,884.3,2.1,32.5,20.9,0
10/10/2024,60,886.3,0,27.4,19.1,1.2
10/10/2024,82,887.3,1,27.4,19.1,1.2
10/10/2024,58,884.6,1,27.4,19.1,1.2
11/10/2024,70,886.3,0,31.3,20.1,0
11/10/2024,62,887.1,3.1,31.3,20.1,0
11/10/2024,41,883.7,1,31.3,20.1,0
12/10/2024,94,887.7,0,29.3,19.1,7.1
12/10/2024,80,889.9,1,29.3,19.1,7.1
12/10/2024,49,887,1,29.3,19.1,7.1
13/10/2024,77,889.1,2.1,32.4,20,0.1
13/10/2024,64,891.3,1,32.4,20,0.1
13/10/2024,45,888.3,3.1,32.4,20,0.1
14/10/2024,59,890.5,0,31.1,20.9,0
14/10/2024,70,891.4,4.1,31.1,20.9,0
14/10/2024,39,886.6,3.1,31.1,20.9,0
15/10/2024,96,888.3,0,22.6,18.3,66.7
15/10/2024,89,889.9,1,22.6,18.3,66.7
15/10/2024,87,886.7,0,22.6,18.3,66.7
16/10/2024,93,887.4,1,26.7,19,1
16/10/2024,73,888.5,1,26.7,19,1
16/10/2024,96,884.9,1,26.7,19,1
17/10/2024,94,887.4,0,27.1,18.2,39.9
17/10/2024,68,887.4,1,27.1,18.2,39.9
17/10/2024,95,885.9,1,27.1,18.2,39.9
18/10/2024,96,887.1,0,27.5,17.8,33.8
18/10/2024,78,886.3,3.1,27.5,17.8,33.8
18/10/2024,80,882.7,2.1,27.5,17.8,33.8
19/10/2024,96,885,0,26.9,18.3,34.1
19/10/2024,78,885.3,2.1,26.9,18.3,34.1
19/10/2024,92,882.7,2.1,26.9,18.3,34.1
20/10/2024,93,883.3,0,25.5,18.6,3.2
20/10/2024,80,884.9,5.1,25.5,18.6,3.2
20/10/2024,60,882.8,5.1,25.5,18.6,3.2
21/10/2024,80,885.2,0,27.7,19.7,1.2
21/10/2024,87,886.2,1,27.7,19.7,1.2
21/10/2024,52,885,2.1,27.7,19.7,1.2
22/10/2024,93,889.1,0,28.5,19.2,1.7
22/10/2024,75,889.5,1,28.5,19.2,1.7
22/10/2024,63,885.9,2.1,28.5,19.2,1.7
23/10/2024,96,888.2,0,29.5,18.9,46.4
23/10/2024,71,887.9,5.1,29.5,18.9,46.4
23/10/2024,78,885.8,5.1,29.5,18.9,46.4
24/10/2024,91,885.4,1,28.7,20,1.5
24/10/2024,65,886.3,1,28.7,20,1.5
24/10/2024,72,883.1,1,28.7,20,1.5
25/10/2024,87,884.9,0,25.7,19.1,13.2
25/10/2024,93,887.8,2.1,25.7,19.1,13.2
25/10/2024,65,884.6,2.1,25.7,19.1,13.2
26/10/2024,90,887.1,0,30,19.5,22.8
26/10/2024,67,887.2,0,30,19.5,22.8
26/10/2024,57,884.4,1,30,19.5,22.8
27/10/2024,73,886.9,0,28.1,19.9,8
27/10/2024,83,889.3,2.1,28.1,19.9,8
27/10/2024,53,885.3,2.1,28.1,19.9,8
28/10/2024,79,887.5,0,29.1,20.5,0
28/10/2024,87,889.3,4.1,29.1,20.5,0
28/10/2024,53,885.3,2.1,29.1,20.5,0
29/10/2024,71,887,1,26.8,17.8,4.8
29/10/2024,80,888.2,1,26.8,17.8,4.8
29/10/2024,56,884.8,0,26.8,17.8,4.8
30/10/2024,78,886.6,3.1,24.5,19.2,2.5
30/10/2024,90,886.2,1,24.5,19.2,2.5
30/10/2024,71,883.5,2.1,24.5,19.2,2.5
31/10/2024,82,885,0,23.2,17,2.4
31/10/2024,81,886.5,1,23.2,17,2.4
31/10/2024,72,883.8,2.1,23.2,17,2.4
